,Category,Name,Ownership: Government/Private,Street Address,City,State,Zip,County,Phone Number,Website,Hours- Sunday,Hours - Monday,Hours - Tuesday,Hours - Wednesday,Hours - Thursday,Hours - Friday,Hours - Saturday,Residential Household Garbage,Residential Electronic Waste,Residential Appliances/ Furniture,Residential Brush,Residential Construction,Demolition Waste,Recycling - Residential Metal,Recycling - Residential Cans,Recycling - Residential Aluminum,Recycling - Residential Plastics (#1 & #2 only),Recycling - Residential Glass,Recycling - Residential Paper,Recycling - Residential Cardboard,Recycling - Residential Used Motor Oil,Recycling - Residential Used Cooking Oil,Special Waste - Residential automotive batteries,Special Waste - Residential latex-based paint,Special Waste - Residential antifreeze,Special Waste - Residential Automotive Tires,Holiday Hours - New Year's Day,Holiday Hours - MLK Day,Holiday Hours - President's Day,Holiday Hours - Easter,Holiday Hours - Memorial Day,Holiday Hours - Independence Day,Holiday Hours - Veteran's Day,Holiday Hours - Thanksgiving Day,Holiday Hours - Christmas Eve,Holiday Hours - Christmas Day,Goodwill Drop-Off,Daily Limit,Notes,Lat,Long
0,Landfill,Baker Sanitary Landfill,Private,Se Of Baker City,Baker City,OR,97907.0,Baker,541-523-2626,http://www.bakersanitary.com/,No,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,,
1,Landfill,Haines Landfill,Government,"Sec 27, T7S, R39E",Haines,OR,97833.0,Baker,541-856-3366,https://www.cityofhainesor.org/,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
2,Transfer Station,Huntington Transfer Station,Government,"Approx. 1 Mile East On Hwy 30, Then Sout",Huntington,OR,97907.0,Baker,541-869-2202,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.3512726,-117.2665686
3,Transfer Station,Larue Transfer Station,Government,43401 Sag Rd ,Halfway,OR,97834.0,Baker,541-742-6857,,,,,,,,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.880715,-117.1146172
4,Transfer Station,UnityTransfer Station,Government,1 1/2 - 2 Mi. South Of Unity,Unity,OR,97884.0,Baker,541-446-3544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8041334,-120.5542012
5,Waste Tire Facility,"Second Life Recycling, LLC",Private,33060 Shirttail Creek Road,Durkee,OR,97905.0,Baker,208-850-6870,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,44.542231,-117.421202
6,Waste Tire Facility,Ash Grove Cement Plant,Private,300 Cement Plant Road,Durkee,OR,97905.0,Baker,541-877-2411,https://www.ashgrove.com/,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,44.542231,-117.421202
7,Compost Facility,Processing & Recovery Center,Private,29969 Camp Adair Rd,Monmouth,OR,97361.0,Benton,541-745-5792,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.6997899,-123.1957314
8,Compost Facility,SIF Biogas Plant,Private,3122 Stahlbush Island Rd,Corvallis,OR,97333.0,Benton,541-760-3127,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.53508859999999,-123.2451752
9,Compost Facility,"Gathering Together Farm, Inc",Private,25159 Grange Hall Road,Philomath,OR,97370.0,Benton,541-929-4270,http://www.gatheringtogetherfarm.com/,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.5313372,-123.3728452
10,Landfill,Coffin Butte Landfill,Private,29175 Coffin Butte Rd,Corvallis,OR,97330.0,Benton,541-230-5546,https://www.republicservices.com/customer-support/facilities?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=F32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6956576,-123.2338743
11,Compost Facility,"McFarlane's Bark, Inc.",Private,13345 Se Johnson Rd,Milwaukie,OR,97222.0,Clackamas,503-659-4240,http://www.mcfarlanesbark.com/,9:00AM-4:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.4268993,-122.5825126
12,Compost Facility,Canby Landscape Supply,Private,24370 S Highway 99E,Canby,OR,97013.0,Clackamas,503-656-0663,http://www.canbylandscapesupply.com/,No,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,9:00AM-3:00PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.2533151,-122.7136969
13,Compost Facility,Aurora Compost 1,Government,6822 S Anderson Rd,Aurora,OR,97002.0,Clackamas,503-969-9548,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.250181,-122.727432
14,Compost Facility,Aurora Compost 2,Government,5997 S Anderson Rd,Aurora,OR,97002.0,Clackamas,503-692-9666,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.2430499,-122.746507
15,Compost Facility,Aurora Compost 3,Government,26241 S Meridian Rd,Aurora,OR,97002.0,Clackamas,503-710-6136,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.228089,-122.745348
16,Compost Facility,Valley Green Compost,Private,27550 S Dryland Rd,Canby,OR,97013.0,Clackamas,503-964-1976,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.207563,-122.656465
17,Recycling Center,KB Recycling Inc. Materials Recovery Facility,Private,9602 Se Clackamas Rd,Clackamas,OR,97015.0,Clackamas,503-266-3900,https://www.oregonmetro.gov/tools-living/garbage-and-recycling/find-a-recycler/recyclers/575,No,7:00AM-3:30PM,7:00AM-3:30PM,7:00AM-3:30PM,7:00AM-3:30PM,7:00AM-3:30PM,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,No,No,,,,,,,,,,,,,,45.4098425,-122.565166
18,Recycling Center,Universal Recycling Technologies,Private,10151 Se Jennifer St,Clackamas,OR,97015.0,Clackamas,608-754-3400,http://www.universalrecyclers.com/,No,8:00AM-3:00PM,8:00AM-3:00PM,8:00AM-3:00PM,8:00AM-3:00PM,8:00AM-3:00PM,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,No,No,,,,,,,,,,,,,,45.4042864,-122.5593363
19,Transfer Station,Canby Transfer & Recycling Center,Government,1600 Se 4Th Ave,Canby,OR,97013.0,Clackamas,503-266-3900,http://canbydisposal.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.2609538,-122.6756107
20,Transfer Station,Clackamas County Garbage & Recycling Transfer Station aka Sandy Transfer Station,Government,19600 Se Canyon Valley Road,Sandy,OR,97055.0,Clackamas,503-353-4466,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.3342277,-122.5986483
21,Transfer Station,Metro South Transfer Station,Government,2001 Washington St,Oregon City,OR,97045.0,Clackamas,503-234-3000,http://www.oregonmetro.gov/tools-living/garbage-and-recycling/garbage-recycling-hazardous-waste-disposal-oregon-city,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,7:00AM-7:00PM,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.370593,-122.5892041
22,Waste Tire Facility,"Tire Disposal Co., Inc. dba: Molalla Discount Tire",Private,14377 S Macksburg Rd,Molalla,OR,97038.0,Clackamas,503-829-8322,http://www.molalladiscounttire.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-3:00PM,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.185387,-122.5725272
23,Waste Tire Facility,CarMax 7285,Private,13750 Se Johnson Rd,Milwaukie,OR,97222.0,Clackamas,804-747-0422,https://www.carmax.com/stores/7285?utm_source=SEO_Local&utm_medium=SEO_Local_Sck_Pack&utm_campaign=SEO_OR&utm_content=SEO_Milwaukie&utm_term=SEO_7285,11:00AM-7:00PM,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,10:00AM-9:00PM,9:00AM-9:00PM,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.4232637,-122.5797627
24,Waste Tire Facility,Dietrich Trucking LLC,Private,7211 Ne 43Rd Ave Ste A,Vancouver,OR,98661.0,Clark,360-573-2000,http://dietrichtrucking.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.6745849,-122.6269148
25,Compost Facility,Trails End Recovery Compost,Private,34635-34661 Airport Lane,Warrenton,OR,97146.0,Clatsop,503-861-6030,http://trailsendrecovery.com/,No,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,9:00AM-3:30PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,46.1438369,-123.8741073
26,Compost Facility,Laurelwood Farm Composting Facility,Private,34154 Hwy 26,Seaside,OR,97138.0,Clatsop,503-738-5954,,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.918104,-123.896322
27,Recycling Center,Trails End Recovery MRF,Private,34635-34661 Airport Lane,Warrenton,OR,97146.0,Clatsop,503-861-6030,http://trailsendrecovery.com/,No,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,9:00AM-3:30PM,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,No,No,,,,,,,,,,,,,,46.1438369,-123.8741073
28,Recycling Center,Georgia Pacific Consumer Pr Wauna Mill Landfill,Private,92326 Taylorville Rd,Clatskanie,OR,97016.0,Clatsop,503-455-3236,https://www.gp.com/,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,46.1616045,-123.414906
29,Transfer Station,Astoria Transfer Station,Government, 1790 Williamsport Road,Astoria,OR,97103.0,Clatsop,503-474-4836,http://www.recologywesternoregon.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,46.1764259,-123.816658
30,Transfer Station,Astoria Transfer Station,Government, 1790 Williamsport Road,Astoria,OR,97103.0,Clatsop,503-474-4836,http://www.recologywesternoregon.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,46.1764259,-123.816658
31,Compost Facility,"Beaver Bark, Inc.",Private,54000 West Lane Road,Scappoose,OR,97056.0,Columbia,503-543-3000,http://www.beaverbarkllc.com/,No,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.7790755,-122.8666633
32,Transfer Station,Columbia County HHW & Transfer Station,Government,1601 Railroad Avenue,St. Helens,OR,97051.0,Columbia,503-397-7213,http://www.co.columbia.or.us/departments/land-development-services-main/solid-waste-program,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8423397,-122.8161371
33,Transfer Station,Vernonia Transfer Station,Private, 500 California Avenue,Vernonia,OR,97064.0,Columbia,503-366-2613,http://www.vernonia-or.gov/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.857419,-123.1848983
34,Compost Facility,SeaCoast Compost,Private,63073 Seven Devils Rd,Charleston,OR,97420.0,Coos,541-888-6757,https://redefiningcompost.com/contact/,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.3148604,-124.3440594
35,Compost Facility,Bandon Organic Compost Company,Private,88154 Barnekoff Ln,Bandon,OR,97411.0,Coos,541-347-9393,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.070294,-124.3896597
36,Landfill,Coquille Disposal Site,Private,"Sec02,T28S,R13W",Coquille,OR,97423.0,Coos,541-679-2130,http://www.co.coos.or.us/departments/solidwaste.aspx,No,No,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1846514,-124.1647662
37,Landfill,North Spit Landfill,Private,Horsfall Beach Rd,North Bend,OR,97459.0,Coos,713-400-2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.44192470000001,-124.2456407
38,Transfer Station,Beaver Hill Solid Waste Facility,Government,55722 Hwy 101,Coos Bay,OR,97420.0,Coos,541-396-7660,http://www.co.coos.or.us/Departments/SolidWaste.aspx,No,No,8:30AM-4:00PM,8:30AM-4:00PM,8:30AM-4:00PM,8:30AM-4:00PM,8:30AM-4:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2711317,-124.2611967
39,Transfer Station,West Coast Recycling And Transfer Inc. dba Public Disposal & Recycling,Private,1210 S. Broadway St. ,Coos Bay,OR,97420.0,Coos,541-756-5868,,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3542442,-124.2127151
40,Compost Facility,Crook County Landfill Compost Facility,Government,5601 Sw Houston Lake Rd,Prineville,OR,97754.0,Crook,541-447-6555,http://co.crook.or.us/Departments/Landfill2/LandfillHome/tabid/2032/Default.aspx,No,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.3022346,-120.9126815
41,Landfill,Crook County Landfill,Government,5601 Sw Houston Lake Rd,Prineville,OR,97754.0,Crook,541-447-6555,http://co.crook.or.us/Departments/Landfill2/LandfillHome/tabid/2032/Default.aspx,No,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3022346,-120.9126815
42,Landfill,Regional Tire Recovery And Disposal Facility,Private,7220 Nw O Neil Hwy,Prineville,OR,97754.0,Crook,818-571-2425,http://www.tiredisposal-recycling.com/,No,8:00AM-3:30PM,8:00AM-3:30PM,8:00AM-3:30PM,8:00AM-3:30PM,8:00AM-3:30PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.32968450000001,-120.9305353
43,Transfer Station,Paulina Transfer Station,Government,E Of Prineville @ Junction Of Hwy 113 & ,Paulina,OR,97751.0,Crook,541-447-6555,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.2866489,-120.8154566
44,Transfer Station,Prineville Disposal Reload Station,Private,1751 N Main St,Prineville,OR,97754.0,Crook,541-447-5208,http://www.prinevilledisposal.com/,No,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3174465,-120.8488931
45,Waste Tire Facility,"Grizzly Transport, LLC",Private,3595 Ne 3Rd St,Prineville,OR,97754.0,Crook,541-447-8377,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,44.3047428,-120.8032549
46,Landfill,South Coast Lumber,Private,Near Brookings Airport,Brookings,OR,97415.0,Curry,541-469-2136,http://www.pacificwoodlamites.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.04882569999999,-124.2867253
47,Transfer Station,Brookings Transfer Station,Government,17498 Carpenterville Rd,Brookings,OR,97415.0,Curry,541-469-2425,http://www.currytransferrecycling.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.1942785,-124.3709372
48,Transfer Station,Nesika Beach Transfer Station,Government,6 Mi. N Of Gold Beach On Hwy. 101,Gold Beach,OR,97415.0,Curry,541-247-3291,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.4072532,-124.4209767
49,Transfer Station,Port Orford Transfer Station,Government,42750 Arizona St.,Port Orford,OR,97465.0,Curry,541-247-3291,http://www.portorford.org/publicworks.html,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.7458191,-124.4988449
50,Transfer Station,Wridge Creek Transfer Station,Private,"T39S, R14W, S16Wm",Brookings,OR,97415.0,Curry,541-469-2425,http://www.currytransferrecycling.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.1942785,-124.3709372
51,Compost Facility,Knott Pit Landfill Compost Facility,Government,61050  Se 27Th St,Bend,OR,97702.0,Deschutes,541-317-3163,http://www.deschutesrecycling.com/,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.0131402,-121.2571531
52,Landfill,Knott Landfill,Government,E Side Of Bend,Bend,OR,97702.0,Deschutes,541-317-3163,https://www.deschutes.org/solidwaste,No,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0131402,-121.2571531
53,Transfer Station,Alfalfa Transfer Station,Government,Walker Road,Bend,OR,97702.0,Deschutes,541-317-3163,http://www.deschutesrecycling.com/,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,44.0166315,-121.2527633
54,Transfer Station,Deschutes County Transfer Station and Household Hazardous Waste Facility,Government,61050  Se 27Th St,Bend,OR,97702.0,Deschutes,541-317-3163,https://www.deschutes.org/solidwaste,No,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0131402,-121.2571531
55,Transfer Station,Negus Transfer Station,Government,Off Negus Way (County Road),Redmond,OR,97756.0,Deschutes,541-317-3163,,No,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,44.28979,-121.1423349
56,Transfer Station,Northwest  (Fryrear) Transfer Station,Government,68200 Fryrear Rd ,Sisters,OR,97759.0,Deschutes,541-317-3163,https://www.deschutes.org/solidwaste/page/administration-disposal-and-recycling-locations,No,No,No,9:00AM-5:00PM,Closed,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2698072,-121.4323172
57,Transfer Station,Southwest Transfer Station,Government,54580 Hwy 97 ,La Pine,OR,97739.0,Deschutes,541-317-3163,http://www.deschutes.org/solidwaste/page/administration-disposal-and-recycling-locations,No,No,No,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.7828353,-121.4457389
58,Landfill,Roseburg Landfill,Government,376 Roseburg Landfill Road,Roseburg,OR,97470.0,Douglas,541-440-4208,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,43.187874,-123.3800998
59,Landfill,Riddle Ash Landfill,Private,Riddle By-Pass Road,Riddle,OR,97469.0,Douglas,541-679-2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9552197,-123.3713305
60,Landfill,Riddle Plywood Plant Disposal Site No. 1 & No. 2,Private,3064 Riddle Bypass Rd.,Riddle,OR,97469.0,Douglas,541-679-2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Landfill,Rifle Range Road Landfill,Private,Near 556 Rifle Range Rd,Roseburg,OR,97470.0,Douglas,541-461-6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2288012,-123.3171607
62,Landfill,Roseburg Forest Products Dillard Disposal Site,Private,10700 Old Hwy 99S,Dillard,OR,97432.0,Douglas,541-679-2130,http://www.roseburg.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0876558,-123.4159517
63,Landfill,Swanson Group Mfg. LLC Glide,Private,1/2 Mile South Of 1577 Glide Loop Rd.,Glide,OR,97443.0,Douglas,541-492-1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3077391,-123.0835714
