,Category,Name,Ownership: Government/Private,Street Address,City,State,Zip,County,Phone Number,Website,Hours- Sunday,Hours - Monday,Hours - Tuesday,Hours - Wednesday,Hours - Thursday,Hours - Friday,Hours - Saturday,Residential Household Garbage,Residential Electronic Waste,Residential Appliances/ Furniture,Residential Brush,Residential Construction,Demolition Waste,Recycling - Residential Metal,Recycling - Residential Cans,Recycling - Residential Aluminum,Recycling - Residential Plastics (#1 & #2 only),Recycling - Residential Glass,Recycling - Residential Paper,Recycling - Residential Cardboard,Recycling - Residential Used Motor Oil,Recycling - Residential Used Cooking Oil,Special Waste - Residential automotive batteries,Special Waste - Residential latex-based paint,Special Waste - Residential antifreeze,Special Waste - Residential Automotive Tires,Holiday Hours - New Year's Day,Holiday Hours - MLK Day,Holiday Hours - President's Day,Holiday Hours - Easter,Holiday Hours - Memorial Day,Holiday Hours - Independence Day,Holiday Hours - Veteran's Day,Holiday Hours - Thanksgiving Day,Holiday Hours - Christmas Eve,Holiday Hours - Christmas Day,Goodwill Drop-Off,Daily Limit,Notes,Lat,Long
64,Landfill,Umpqua Lumber Company Landfill,Private,Horizon Road,Dillard,OR,97470.0,Douglas,541-874-2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1028939,-123.4278501
65,Transfer Station,Camas Valley Transfer Station,Government,"County Rd. 214, 2 Mi. N. Of Camas Valley",Camas Valley,OR,97416.0,Douglas,541-440-4485,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.0333629,-123.6739646
66,Transfer Station,Canyonville Transfer Station,Government,600 Jordan Creek Road,Canyonville,OR,97417.0,Douglas,541-440-4485,http://recyclepower.org/,No,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.917765,-123.32317
67,Transfer Station,Elkton Transfer Station,Government,End Of County Rd. 320,Elkton,OR,97436.0,Douglas,541-440-4485,,No,No,No,8:00AM-6:00PM,Closed,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.6526173,-123.6276145
68,Transfer Station,Glendale Transfer Station,Government,240 Glendale Transfer Road,Glendale,OR,97442.0,Douglas,541-440-4485,http://www.recyclepower.org/,8:00AM-6:00PM,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.7696116,-123.3356413
69,Transfer Station,Glide Transfer Station,Government,13921 Glide Transfer Rd,Glide,OR,97443.0,Douglas,541-440-4485,http://www.recyclepower.org/,No,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.29076790000001,-123.1730307
70,Transfer Station,Myrtle Creek Transfer Station,Government,300 Myrtle Creek Transfer Rd.,Myrtle Creek,OR,97457.0,Douglas,541-440-4485,http://recyclepower.org/,No,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.0323862,-123.2973305
71,Transfer Station,Oakland Transfer Station,Government,220 Oakland-Sutherlin Transfer Rd.,Oakland,OR,97462.0,Douglas,541-440-4485,http://www.recyclepower.org/,8:00AM-6:00PM,No,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.4298635,-123.3149284
72,Transfer Station,Reedsport Transfer Station,Government,300 Reedsport Transfer Station Road,Reedsport,OR,97467.0,Douglas,541-440-4485,http://www.recyclepower.org/,No,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,43.68874350000001,-124.0697937
73,Transfer Station,Roseburg Transfer Station,Government,165 Mcclain West Ave.,Roseburg,OR,97470.0,Douglas,541-440-4485,http://www.recyclepower.org/,8:00AM-6:00PM,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,43.1851348,-123.3754348
74,Transfer Station,Tiller Transfer Station,Government,150 Tiller Transfer Rd.,Tiller,OR,97484.0,Douglas,541-440-4485,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
75,Transfer Station,Yoncalla Transfer Station,Government,555 Yoncalla Transfer Rd,Yoncalla,OR,97499.0,Douglas,541-440-4485,http://www.recyclepower.org/,8:00AM-6:00PM,No,No,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,8:00AM-6:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.5984531,-123.2834167
76,Compost Facility,Columbia Ridge Landfill: Composting,Private,18177 Cedar Springs Ln,Arlington,OR,97812.0,Gilliam,541-454-3201,https://www.wm.com/,No,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,45.6160436,-120.2457074
77,Landfill,Columbia Ridge Landfill,Private,18177 Cedar Springs Ln,Arlington,OR,97812.0,Gilliam,541-454-2030,https://www.wm.com/,No,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,45.6160436,-120.2457074
78,Transfer Station,Columbia Ridge Transfer Station,Private,18177 Cedar Springs Ln,Arlington,OR,97812.0,Gilliam,541-454-2030,https://www.wm.com/,No,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,6:15AM-3:30PM,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,45.6160436,-120.2457074
79,Transfer Station,Condon Transfer Station,Government,Brown Lane,Condon,OR,97823.0,Gilliam,541-384-2711,http://cityofcondon.com/recycling/,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.2582852,-120.1712895
80,Landfill,Silvies Valley Ranch LLC,Private,40000 E. Cowboy Lane,Seneca,OR,97873.0,Grant,541-589-3994,https://www.silvies.us/,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,8:00AM-9:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.05857899999999,-118.9631071
81,Transfer Station,Hendrix  (Clark's) Transfer Station,Government,26431 Luce Creek Rd.,John Day,OR,97845.0,Grant,541-575-0059,https://clarks-disposal.business.site/?utm_source=gmb&utm_medium=referral,No,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,11:00AM-2:00PM,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3633355,-119.0043313
82,Transfer Station,Long Creek Transfer Station,Government,55356 Paul Creek Lane,Long Creek,OR,97856.0,Grant,541-421-3601,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.9901523,-93.5972317
83,Transfer Station,Monument Transfer Station,Government,"North Of Monument On ""Airport Road""",Monument,OR,97864.0,Grant,541-934-2025,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.8041334,-120.5542012
84,Transfer Station,Seneca Transfer Station,Government,Shirttail Creek Road Sec34,Seneca,OR,97873.0,Grant,541-542-2161,,No,7:00AM-6:00PM,No,7:00AM-6:00PM,Closed,No,7:00AM-3:00PM,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.1332098,-118.9748448
85,Landfill,Burns-Hines Disposal Site,Private,"Sec 14, T23S, R30E",Burns,OR,97720.0,Harney,541-573-6441,,11:00AM-4:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,43.5862606,-119.0541032
86,Landfill,Diamond Disposal Site,Government,"Sec 15, T29S, R32E",Diamond,OR,97722.0,Harney,541-573-6356,http://www.diamonddisposalllc.com/,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,40.3688643,-75.6188541
87,Landfill,Drewsey Disposal Site,Government,"Sec 7, T20S, R36E",Drewsey,OR,97904.0,Harney,541-573-6356,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.8071385,-118.3786823
88,Landfill,Fields Disposal Site,Government,"Andrews (Unincorporated) Sec24,T35S,R33E",Fields,OR,,Harney,541-573-6356,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
89,Landfill,Frenchglen Disposal Site,Government,"Sec 9, T32S, R32E",Frenchglen,OR,97736.0,Harney,541-573-6356,http://www.frenchglenhotel.com/,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.8279687,-118.9152153
90,Landfill,Riley Disposal Site,Government,"Sec 10, T23S, R26E",Riley,OR,97758.0,Harney,541-573-6356,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
91,Compost Facility,Columbia Gorge Organic Fruit Compost Facility,Private,3510 Central Vale Rd,Hood River,OR,97031.0,Hood River,541-354-1066,http://www.cogojuice.com/,No,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,8:00AM-4:30PM,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.6069335,-121.5401457
92,Transfer Station,Hood River Recycling & Transfer Station + Tri-County HHHW Collection Facility,Private,3440 Guignard Dr,Hood River,OR,97031.0,Hood River,503-288-7844,http://www.hoodrivergarbage.com/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,45.6829296,-121.5325178
93,Waste Tire Facility,Jubitz Tire/Soil Berm,Private,8700 Clear Creek Rd.,Parkdale,OR,97041.0,Hood River,503-292-0046,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,45.5966543,-122.668325
94,Compost Facility,Rogue Compost Facility,Private,6260 Dry Creek Rd,Eagle Point,OR,97524.0,Jackson,541-779-4161,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.3807269,-122.7749493
95,Compost Facility,Hilton Fuel & Supply Company,Private,8087 Blackwell Rd,Central Point,OR,97502.0,Jackson,541-664-3374,http://hiltonlandscapesupply.com/,No,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.4186884,-122.9690565
96,Landfill,Dry Creek Landfill,Private,6260 Dry Creek Road,Eagle Point,OR,97524.0,Jackson,541-494-5455,http://roguedisposal.com/about-the-landfill/,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,7:00AM-4:00PM,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,42.3807269,-122.7749493
97,Transfer Station,Rogue Transfer Station & Mrf,Private,8001 Table Rock Rd,Medford,OR,97503.0,Jackson,541-779-4161,https://roguedisposal.com/transfer-station,No,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,7:00AM-5:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.432213,-122.8891349
98,Transfer Station,Valley View Transfer Station,Private,3000 N. Valley View Rd.,Ashland,OR,97520.0,Jackson,541-552-5602,https://www.recology.com/recology-ashland/valley-view-transfer-station/,No,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,42.2636081,-122.7358994
99,Compost Facility,"High Desert Organix, LLC Compost Facility",Private,Ne Cherry Lane,Madras,OR,97741.0,Jefferson,541-475-2627,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.5956475,-121.0710624
100,Transfer Station,Box Canyon Transfer Station,Government,1760 Se Mctaggart,Madras,OR,97741.0,Jefferson,503-899-7248,http://madrassanitary.com/,8:30AM-4:30PM,8:30AM-4:30PM,No,No,Closed,8:30AM-4:30PM,8:30AM-4:30PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.6095695,-121.1026687
101,Transfer Station,Camp Sherman Transfer Station,Government,Intersection Of Nf Rd 14 And 1419 ,Camp Sherman,OR,97730.0,Jefferson,503-899-7248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4600175,-121.6473132
102,Compost Facility,"Southern Oregon Compost, LLC",Private,5863 Lower River Rd.,Grants Pass,OR,97526.0,Josephine,541-479-7409,,No,9:00AM-3:00PM,9:00AM-3:00PM,9:00AM-3:00PM,9:00AM-3:00PM,9:00AM-3:00PM,9:00AM-3:00PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.436699,-123.4281908
103,Transfer Station,Josephine Recycling And Transfer Station,Private,1749 Merlin Rd,Grants Pass,OR,97526.0,Josephine,541-479-3371,http://www.republicservices.com/?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=454,,,,,,,,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,42.5004242,-123.3998234
104,Transfer Station,Kerby Transfer Station,Private,"Off Mainline Road Northeast Of Kerby, Or",Kerby,OR,97544.0,Josephine,541-479-5335,http://www.sosanitation.com/,No,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,9:00AM-4:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1942797,-123.651735
105,Transfer Station,Southern Oregon Sanitation Transfer Station,Private,1381 Redwood Ave,Grants Pass,OR,97527.0,Josephine,541-479-5335,http://www.sosanitation.com/,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,42.421955,-123.355133
106,Compost Facility,Regional Disposal Company,Private,54 South Dawson Street,Seattle,OR,98134.0,King,206-332-7768,,No,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,8:00AM-5:00PM,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,47.5559032,-122.3361709
107,Compost Facility,Stateline Compost,Private,24600 Hwy 97,Klamath Falls,OR,97627.0,Klamath,541-880-8318,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,48.2806485,-119.7013221
108,Compost Facility,Klamath Falls Landfill-compost facility,Government,801 Old Fort Rd,Klamath Falls,OR,97601.0,Klamath,541-883-5121,,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,42.233942,-121.75492
109,Compost Facility,Tulelake Compost Yard,Private,23423 Old Malin Hwy,Malin,OR,97632.0,Klamath,623-853-9880,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.0252595,-121.4924428
110,Landfill,Klamath Falls Landfill,Government,801 Old Fort Road,Klamath Falls,OR,97601.0,Klamath,541-883-4294,,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,42.233942,-121.75492
111,Landfill,Chemult Landfill,Government,400 Chemult Dump Road,Chemult,OR,97731.0,Klamath,541-891-1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2165182,-121.7831612
112,Transfer Station,Shady Pine Road,Private,11091 Shady Pine Road,Klamath,OR,97602.0,Klamath,541-882-8377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.328518,-121.8173778
113,Transfer Station,Beatty Transfer Station,Government,21000 Yellow Jacket Springs Rd,Beatty,OR,97621.0,Klamath,541-891-1608,,,,,,,,,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,42.4141983,-121.2766287
114,Transfer Station,Bonanza Transfer Station,Government, 1101 Bonanza Cut-Off Rd,Bonanza,OR,97623.0,Klamath,541-891-1608,,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.1987607,-121.4061076
115,Transfer Station,Chiloquin Transfer Station,Government,2301 Chiloquin Sprague River Hwy,Chiloquin,OR,97624.0,Klamath,541-891-1608,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.5776364,-121.8661258
116,Transfer Station,Crescent Transfer Station,Government,"3 Mi. West Of Crescent, On Crescent Cut-",Crescent,OR,97733.0,Klamath,541-891-1608,,No,No,No,8:30AM-3:00PM,8:30AM-3:00PM,8:30AM-3:00PM,8:30AM-3:00PM,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.4623474,-121.6955803
117,Transfer Station,Keno Transfer Station,Government,15353 Keno-Worden Rd,Keno,OR,97603.0,Klamath,541-891-1608,,,,,,,,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,42.089003,-121.897461
118,Transfer Station,Merrill Transfer Station,Government,13400 Lower Lake Rd,Merrill,OR,97633.0,Klamath,541-891-1608,,,,,,,,,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
119,Transfer Station,Odessa Transfer Station,Government,26000 Hwy 140 West,Rocky Point,OR,97601.0,Klamath,541-891-1608,,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,
120,Transfer Station,Rogue Klamath Transfer Station,Private,4005 Tingley Ln,Klamath Falls,OR,97603.0,Klamath,,https://www.klamathcounty.org/359/Disposal-Locations,No,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,8:00AM-4:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1902541,-121.7654494
121,Transfer Station,Sprague River Transfer Station,Government,23101 Drews Rd,Sprague River,OR,97639.0,Klamath,541-891-1608,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.46671,-121.5050469
122,Transfer Station,"Industrial Oil, Inc",Private,1291 Laverne Ave.,Klamath Falls,OR,97603.0,Klamath,800-404-9124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1925575,-121.7678907
123,Compost Facility,McGarva Ranch,Private,16866 Westside Rd,Lakeview,OR,97630.0,Lake,541-947-4062,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.1393427,-120.4738378
124,Compost Facility,McGarva Ranch,Private,16866 Westside Rd,Lakeview,OR,97630.0,Lake,541-947-4062,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.1393427,-120.4738378
125,Landfill,Thomas Creek Road Landfill,Government,23980 Thomas Creek Road,Lakeview,OR,97630.0,Lake,541-947-6048,https://www.lakecountyor.org/government/land_fill.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2832389,-120.3641652
126,Transfer Station,Christmas Valley Transfer Station,Government,"On County Rd 9-21, 4 Miles North Of Town",Christmas Valley,OR,97641.0,Lake,541-947-6048,http://www.lakecountyor.org/government/sheriff.php,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.237797,-120.6708853
127,Transfer Station,Fort Rock Transfer Station,Government,3 Miles West Of Fort Rock On County Road,Fort Rock,OR,97735.0,Lake,541-947-6048,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.3,-121
128,Transfer Station,Paisley Transfer Station,Government,3 Miles North Of Paisley,Paisley,OR,97636.0,Lake,541-947-6048,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,42.69376339999999,-120.5460827
129,Transfer Station,Silver Lake Transfer Station,Government,3 Miles Southeast Of Silver Lake Off Hwy,Silver Lake,OR,97638.0,Lake,541-947-6048,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,43.12784680000001,-121.0480986
130,Transfer Station,Thomas Creek Road Transfer Station,Government,23980 Thomas Creek Road,Lakeview,OR,97630.0,Lake,541-947-6048,http://www.lakecountyor.org/government/land_fill.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2832389,-120.3641652
131,Compost Facility,JC Compost Yard,Private,Hwy 99 Station 140+75,Junction City,OR,97448.0,Lane,541-345-9085,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.2193103,-123.2046619
132,Compost Facility,Lane Forest Products,Private,2111 Prairie Road,Eugene,OR,97402.0,Lane,541-345-9085,https://laneforest.com/,9:00AM-5:00PM,7:30AM-5:30PM,7:30AM-5:30PM,7:30AM-5:30PM,7:30AM-5:30PM,7:30AM-5:30PM,7:30AM-5:30PM,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.09538999999999,-123.159527
133,Compost Facility,"Shell New Energies, Junction City",Private,92757 Highway 99 S,Junction City,OR,97448.0,Lane,403-384-6150,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.1808512,-123.201946
134,Compost Facility,Bloomberg Park Leaf Composting Facility,Government,Bloomberg Rd,Eugene,OR,97405.0,Lane,541-682-4800,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.0176253,-123.0450755
135,Compost Facility,Coburg Production Facility,Private,92574 N Coburg Rd,Eugene,OR,97408.0,Lane,541-342-1835,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.179119,-123.078993
136,Compost Facility,Winter Green Farm,Private,22481 West Sheffler Rd,Noti,OR,97461.0,Lane,541-935-1920,http://www.wintergreenfarm.com/,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,44.093312,-123.45731
